300.320, 129.668, 5.514,  6.650 False
300.043, 129.685, 5.572,  6.700 False
299.763, 129.703, 5.627,  6.750 False
299.480, 129.721, 5.680,  6.800 False
299.195, 129.739, 5.732,  6.850 False
298.907, 129.757, 5.784,  6.900 False
298.617, 129.775, 5.833,  6.950 False
298.324, 129.794, 5.883,  7.000 False
298.029, 129.815, 5.930,  7.050 False
297.732, 129.835, 5.979,  7.100 False
297.432, 129.855, 6.025,  7.150 False
297.130, 129.875, 6.072,  7.200 False
296.826, 129.896, 6.117,  7.250 False
296.519, 129.917, 6.163,  7.300 False
296.210, 129.938, 6.207,  7.350 False
295.899, 129.959, 6.254,  7.400 False
295.586, 129.981, 6.297,  7.450 False
295.270, 130.003, 6.343,  7.500 False
294.952, 130.025, 6.385,  7.550 False
294.632, 130.047, 6.431,  7.600 False
294.310, 130.070, 6.473,  7.650 False
293.986, 130.092, 6.518,  7.700 False
293.659, 130.115, 6.561,  7.750 False
293.330, 130.138, 6.605,  7.800 False
293.000, 130.161, 6.648,  7.850 False
292.666, 130.184, 6.692,  7.900 False
292.331, 130.207, 6.734,  7.950 False
291.994, 130.231, 6.779,  8.000 False
291.654, 130.254, 6.820,  8.050 False
291.313, 130.277, 6.864,  8.100 False
290.969, 130.301, 6.904,  8.150 False
290.623, 130.325, 6.947,  8.200 False
290.275, 130.348, 6.987,  8.250 False
289.925, 130.372, 7.030,  8.300 False
289.573, 130.396, 7.070,  8.350 False
289.219, 130.419, 7.112,  8.400 False
288.863, 130.443, 7.152,  8.450 False
288.505, 130.466, 7.196,  8.500 False
288.144, 130.490, 7.236,  8.550 False
287.782, 130.514, 7.280,  8.600 False
287.417, 130.537, 7.320,  8.650 False
287.051, 130.561, 7.363,  8.700 False
286.682, 130.584, 7.403,  8.750 False
286.311, 130.607, 7.446,  8.800 False
285.938, 130.630, 7.486,  8.850 False
285.563, 130.653, 7.529,  8.900 False
285.186, 130.676, 7.569,  8.950 False
284.807, 130.699, 7.612,  9.000 False
284.426, 130.722, 7.651,  9.050 False
284.042, 130.742, 7.692,  9.100 False
283.657, 130.759, 7.732,  9.150 False
283.269, 130.776, 7.775,  9.200 False
282.879, 130.792, 7.816,  9.250 False
282.487, 130.806, 7.859,  9.300 False
282.093, 130.818, 7.898,  9.350 False
281.697, 130.825, 7.937,  9.400 False
281.299, 130.830, 7.978,  9.450 False
280.899, 130.830, 8.020,  9.500 False
280.496, 130.828, 8.061,  9.550 False
280.092, 130.826, 8.107,  9.600 False
279.685, 130.825, 8.150,  9.650 False
279.276, 130.821, 8.194,  9.700 False
278.865, 130.817, 8.234,  9.750 False
278.452, 130.813, 8.276,  9.800 False
278.037, 130.808, 8.303,  9.850 False
277.622, 130.803, 8.318,  9.900 False
277.206, 130.796, 8.326,  9.950 False
276.790, 130.788, 8.331, 10.000 False
276.374, 130.780, 8.335, 10.050 False
275.957, 130.772, 8.339, 10.100 False
275.540, 130.762, 8.343, 10.150 False
275.123, 130.752, 8.346, 10.200 False
274.706, 130.742, 8.348, 10.250 False
274.289, 130.730, 8.350, 10.300 False
273.872, 130.718, 8.352, 10.350 False
273.454, 130.706, 8.353, 10.400 False
273.037, 130.692, 8.354, 10.450 False
272.620, 130.678, 8.355, 10.500 False
272.202, 130.664, 8.356, 10.550 False
271.785, 130.650, 8.356, 10.600 False
271.367, 130.635, 8.357, 10.650 False
270.949, 130.620, 8.357, 10.700 False
270.532, 130.603, 8.357, 10.750 False
270.115, 130.587, 8.357, 10.800 False
269.697, 130.570, 8.357, 10.850 False
269.280, 130.554, 8.356, 10.900 False
268.862, 130.537, 8.356, 10.950 False
268.445, 130.519, 8.356, 11.000 False
268.027, 130.502, 8.355, 11.050 False
267.610, 130.483, 8.355, 11.100 False
267.193, 130.464, 8.354, 11.150 False
266.775, 130.446, 8.354, 11.200 False
266.358, 130.427, 8.354, 11.250 False
265.941, 130.408, 8.353, 11.300 False
265.524, 130.389, 8.353, 11.350 False
265.107, 130.369, 8.352, 11.400 False
264.690, 130.350, 8.351, 11.450 False
264.272, 130.330, 8.351, 11.500 False
263.855, 130.311, 8.350, 11.550 False
263.438, 130.291, 8.350, 11.600 False
263.021, 130.271, 8.349, 11.650 False
262.604, 130.251, 8.349, 11.700 False
262.187, 130.232, 8.348, 11.750 False
261.770, 130.212, 8.348, 11.800 False
261.354, 130.192, 8.347, 11.850 False
260.937, 130.172, 8.347, 11.900 False
260.520, 130.152, 8.346, 11.950 False
260.103, 130.132, 8.346, 12.000 False
259.686, 130.112, 8.346, 12.050 False
259.269, 130.092, 8.345, 12.100 False
258.853, 130.073, 8.345, 12.150 False
258.436, 130.053, 8.344, 12.200 False
258.019, 130.033, 8.344, 12.250 False
257.602, 130.013, 8.344, 12.300 False
257.186, 129.994, 8.343, 12.350 False
256.769, 129.974, 8.343, 12.400 False
256.352, 129.957, 8.342, 12.450 False
255.936, 129.938, 8.342, 12.500 False
255.519, 129.920, 8.342, 12.550 False
255.102, 129.901, 8.341, 12.600 False
254.686, 129.883, 8.341, 12.650 False
254.269, 129.865, 8.341, 12.700 False
253.852, 129.847, 8.341, 12.750 False
253.436, 129.829, 8.340, 12.800 False
253.019, 129.812, 8.340, 12.850 False
252.602, 129.794, 8.340, 12.900 False
252.186, 129.777, 8.340, 12.950 False
251.769, 129.760, 8.339, 13.000 False
251.353, 129.743, 8.339, 13.050 False
250.936, 129.726, 8.339, 13.100 False
250.519, 129.709, 8.339, 13.150 False
250.103, 129.693, 8.338, 13.200 False
249.686, 129.676, 8.338, 13.250 False
249.270, 129.660, 8.338, 13.300 False
248.853, 129.645, 8.338, 13.350 False
248.436, 129.629, 8.338, 13.400 False
248.020, 129.614, 8.337, 13.450 False
